name,resident_advisor_url,appearances,venues,latest_event,energy,experimental,melodic,dark,organic,vocal,depth,classic,genres,scenes,moods,description,similar_artists,soundcloud_url,spotify_id
Vyper,https://ra.co/events/2122129,1,OXI,2025-05-23T00:00:00.000,0.16,0.07,0.74,0.86,0.35,0.84,0.19,0.66,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Costanza,https://ra.co/events/2149791,1,RSO.BERLIN,2025-05-23T00:00:00.000,1.0,0.19,0.66,0.38,0.13,0.23,0.41,0.03,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Danny Wabbit,https://ra.co/events/2149791,1,RSO.BERLIN,2025-05-23T00:00:00.000,0.93,0.96,0.22,0.73,0.67,0.38,0.19,0.31,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Sandrien,https://ra.co/events/2149791,1,RSO.BERLIN,2025-05-23T00:00:00.000,0.68,0.76,0.62,0.57,0.12,0.91,0.97,0.53,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Steve Bicknell,https://ra.co/events/2149791,1,RSO.BERLIN,2025-05-23T00:00:00.000,0.36,0.02,0.97,0.55,0.73,0.92,0.55,0.4,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ Plead,https://ra.co/events/2149791,1,RSO.BERLIN,2025-05-23T00:00:00.000,0.63,0.1,0.52,0.2,0.44,0.18,0.14,0.8,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Keeptress,https://ra.co/events/2149791,1,RSO.BERLIN,2025-05-23T00:00:00.000,0.81,0.48,0.38,0.89,0.81,0.23,0.55,0.47,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
AMORE*FURORE,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.05,0.83,0.58,0.39,0.21,0.87,0.54,0.06,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Judi Mc Fly,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.42,0.44,0.74,0.12,0.85,0.44,0.05,0.64,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
OM (COL),https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.85,0.17,0.34,0.8,0.06,0.98,0.92,1.0,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
2727,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.07,0.87,0.62,0.97,0.18,0.72,0.14,0.74,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
JJZØ,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.69,0.67,0.14,0.06,0.6,0.7,0.74,0.18,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
VO227,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.21,0.36,0.6,0.94,0.65,0.22,0.72,0.83,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
fyschy,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.64,0.26,0.4,0.54,0.26,0.82,0.4,0.72,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
JAPV95,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.5,0.83,0.1,0.99,0.56,0.93,0.21,0.84,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Roslyn,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.03,0.22,0.53,0.71,0.88,0.52,0.22,0.86,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
J~Dizz¥,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.12,0.53,0.19,0.88,0.91,0.85,0.85,0.39,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Espressivo,https://ra.co/events/2157117,1,AVA Club,2025-05-23T00:00:00.000,0.8,0.99,0.34,0.31,0.97,0.15,0.2,0.96,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Amaro (ES),https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.43,0.04,0.79,0.41,0.36,0.26,0.13,0.3,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
9LALEY,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.95,0.86,0.3,0.71,0.9,0.59,0.28,0.39,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Not Charlie,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.93,0.37,0.78,1.0,0.06,0.64,0.14,0.42,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Xorpel,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.29,0.27,0.18,0.61,0.19,0.25,0.97,0.57,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
two girls one mom,https://ra.co/events/2086099,2,"ÆDEN, TBA - Secret Location only in Telegram Group",2025-05-23T00:00:00.000,0.3,0.81,0.79,0.99,0.93,0.36,0.36,0.16,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
August Kind,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.94,0.8,0.65,0.86,0.39,0.54,0.3,0.13,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
bbymeister,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.95,0.6,0.89,0.83,0.99,0.09,0.36,0.56,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Deltapeak,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.88,0.87,0.4,1.0,0.97,0.79,0.32,0.11,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Morelia,https://ra.co/events/2086099,1,ÆDEN,2025-05-23T00:00:00.000,0.78,0.2,0.11,0.18,0.88,0.08,0.55,0.76,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Beka,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.56,0.11,0.1,0.57,0.87,0.54,0.63,0.53,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Ben Green,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.63,0.02,0.46,0.96,0.45,0.25,0.45,0.79,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
CanDJane,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.1,0.99,0.85,0.53,0.9,0.58,0.24,0.14,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Coco,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.61,0.98,0.47,0.84,0.68,0.74,0.35,0.79,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Edgar Peng,https://ra.co/events/2073754,4,"Hoppetosse, Golden Gate",2025-05-23T00:00:00.000,0.7,0.23,0.07,0.61,0.64,0.01,0.53,0.74,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Elli Altenberger,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.36,0.32,0.88,0.12,0.15,0.2,0.75,0.54,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Empro,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.34,0.2,0.93,0.87,0.95,0.57,0.56,0.93,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Erhardt Schuster,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.12,0.92,0.34,0.96,0.74,0.28,0.99,0.66,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Hans Hammer,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.73,0.73,0.57,0.2,0.15,0.66,0.8,0.29,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
KIRSCH,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.97,0.36,0.85,0.9,0.63,0.98,0.39,0.47,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Neco,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,0.47,0.12,0.11,0.36,0.98,0.63,0.46,0.95,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Timid Boy,https://ra.co/events/2073754,2,Hoppetosse,2025-05-23T00:00:00.000,1.0,0.92,0.97,0.12,0.92,0.04,0.56,0.27,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Sam Alfred,https://ra.co/events/2146160,1,Coco Boule,2025-05-23T00:00:00.000,0.92,0.71,0.32,0.8,0.82,0.31,0.49,0.68,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Natalie Robinson,https://ra.co/events/2146160,2,"Coco Boule, Else",2025-05-23T00:00:00.000,0.47,0.19,0.59,0.88,0.36,0.18,0.42,0.83,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Carl Bergé,https://ra.co/events/2146160,1,Coco Boule,2025-05-23T00:00:00.000,0.9,0.85,0.91,0.73,0.97,0.54,0.01,0.84,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Talia Dorr,https://ra.co/events/2146160,2,"Coco Boule, Humboldthain Club",2025-05-23T00:00:00.000,0.65,0.52,0.3,0.2,0.04,0.14,0.87,0.18,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Pauly,https://ra.co/events/2146160,1,Coco Boule,2025-05-23T00:00:00.000,0.46,0.39,0.22,0.49,0.15,0.32,0.19,0.74,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Maxim Covelo,https://ra.co/events/2146160,1,Coco Boule,2025-05-23T00:00:00.000,0.28,0.24,0.09,0.36,0.38,0.32,0.46,0.57,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Brent Honey,https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.38,0.68,0.52,0.27,0.34,0.34,0.35,0.37,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
CARGO (DE),https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.31,0.71,0.44,0.69,0.97,0.75,0.16,0.18,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
GEORGE aka DR.RADSPORT,https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.0,0.04,0.98,0.77,0.34,0.58,0.55,0.83,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
HOTBOI2300,https://ra.co/events/2151510,2,"Lokschuppen Berlin, ://about blank",2025-05-23T00:00:00.000,0.14,0.98,0.22,0.73,0.34,0.13,0.63,0.03,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
HugoBass303,https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.65,0.45,0.37,0.09,0.3,0.93,0.57,0.25,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Jacky Ickx,https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.78,0.5,0.6,0.51,0.15,0.77,0.32,0.79,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Krash Cora,https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.45,0.74,0.29,0.29,0.46,0.9,0.86,0.43,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ Zugzwang,https://ra.co/events/2151510,1,Lokschuppen Berlin,2025-05-23T00:00:00.000,0.12,0.38,0.67,0.22,0.3,0.81,0.59,0.8,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Tim Hagemann,https://ra.co/events/2027331,2,"KitKatClub, Void Club",2025-05-23T00:00:00.000,0.55,0.26,0.02,0.36,0.97,0.2,0.18,0.68,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Yves Meyer,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.75,0.1,0.16,0.29,0.53,0.62,0.02,0.75,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Doram,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.67,0.37,0.72,0.52,0.22,0.32,0.32,0.27,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
NÚRIA (DE),https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.49,0.5,0.66,0.1,0.92,0.23,0.62,0.25,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Nićo Lóup,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.13,0.82,0.55,0.23,0.01,0.39,0.22,0.75,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
ELEETE,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.37,0.27,0.2,0.42,0.15,0.34,0.31,0.15,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Louis Harshman,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.52,0.06,0.6,0.6,0.88,0.76,0.36,0.93,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
KEN (DE),https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.88,1.0,0.81,0.88,0.63,0.32,0.42,0.28,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
DJ PayPaul,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.4,0.03,0.96,0.05,0.96,0.12,0.98,0.57,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
PADERKID,https://ra.co/events/2027331,2,"KitKatClub, Cassiopeia",2025-05-23T00:00:00.000,0.51,0.5,0.48,0.21,0.24,0.09,0.63,0.64,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Adriana A,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.19,0.01,0.23,0.21,0.58,0.19,0.12,0.91,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Jupiter Gatling,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.46,0.85,0.74,0.06,0.73,0.14,0.28,0.57,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Chris Fuego,https://ra.co/events/2027331,1,KitKatClub,2025-05-23T00:00:00.000,0.24,0.24,0.11,0.82,0.33,0.45,0.66,0.06,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
Annett Gapstream,https://ra.co/events/2157438,3,Kater,2025-05-23T00:00:00.000,0.24,0.47,0.55,0.75,0.88,0.75,0.53,0.55,"Techno:0.8, House:0.4, Minimal:0.3","Berlin Techno:0.9, Detroit Techno:0.3","Dark:0.7, Hypnotic:0.8","This artist is known for deep, hypnotic techno with industrial influences.","Artist1, Artist2, Artist3",https://soundcloud.com/example,spotify:artist:123456789
